word,freq
중국,99
확진자,67.96116505
환자,47.88518362
마스크,45.76614605
확산,45.48754749
감염,36.69902913
정부,34.90924441
국내,34.6053187
사람,30.23216547
발생,29.53144787
중국인,25.23427607
진짜,24.98944702
대응,23.35162516
사망자,22.90417898
확진,19.93246095
한국,19.72140144
우리,19.3414943
일본,19.07133812
속보,18.71675813
입국,18.34529337
상황,17.83030815
문재인,17.42507387
생각,17.37441959
사망,16.72435627
공유,16.45420008
취소,16.3613339
감염자,16.141832
증상,15.9223301
사태,15.59307725
공포,14.85859012
이번,14.47024061
예방,14.4280287
관련,14.30139299
감염증,14.25073871
국민,14.19164204
독감,14.00590967
오늘,13.74419586
걱정,13.38117349
미국,12.56226256
건강,12.40185732
병원,12.33431828
이유,12.06416209
확인,11.52384973
방문,11.46475306
격리,11.42254116
우려,11.12705783
조심,11.06796117
전염,10.8315745
대통령,10.81468974
세계,10.27437737
메르스,10.25749261
근데,10.15618404
심각,9.717180245
다들,9.598986914
문제,9.598986914
사스,9.286618827
종합,9.2106374
2명,8.9911355
불안,8.940481216
방역,8.915154073
#우한폐렴,8.906711693
확진환자,8.822287885
지역,8.754748839
치료,8.65344027
연기,8.611228366
신종코로나,8.501477417
검사,8.476150274
가능성,8.450823132
한국인,8.400168848
정보,8.400168848
가짜뉴스,8.391726467
#우한_폐렴,8.341072182
접촉,8.113127902
2월,8.028704095
예정,8.020261714
위험,7.902068383
전파,7.783875053
사람들,7.783875053
영상,7.589700295
금지,7.581257915
혐오,7.564373153
비상,7.539046011
조선일보,7.513718869
치사율,7.479949346
발표,7.463064584
우리나라,7.4124103
경제,7.387083157
#엔시티드림_마카오_스케줄_취소해,7.378640777
#엔시티드림_마카오_콘서트_취소해,7.378640777
#엔시티드림_해외스케줄_취소해,7.344871254
의심,7.327986492
언론,7.319544111
조치,7.319544111
4명,7.277332208
전염병,7.243562685
기사,7.1929084
이상,7.142254116
남성,7.08315745
실시간,7.049387927
1명,6.998733643
의사,6.872097932
필요,6.787674124
백신,6.779231743
지원,6.770789363
하루,6.762346982
대처,6.686365555
가능,6.644153651
시작,6.635711271
블로그,6.593499367
국민들,6.534402702
의심환자,6.458421275
대한민국,6.416209371
중국인들,6.348670325
기침,6.331785564
박쥐,6.323343183
전세계,6.28957366
시진핑,6.28957366
우한폐렴때문,6.238919375
#엔시티드림_당장_입국시켜,6.162937949
"""우한",6.103841283
나라,6.078514141
유행,5.816800338
3명,5.791473195
여행,5.766146053
중단,5.707049388
ㅋㅋ,5.690164626
주요뉴스,5.681722246
대책,5.673279865
청와대,5.639510342
정도,5.639510342
#코로나바이러스,5.631067961
접촉자,5.605740819
콘서트,5.512874631
서울,5.445335585
이재명,5.428450823
공개,5.403123681
입국금지,5.27648797
#엔시티드림_당장_입국해,5.268045589
판정,5.259603208
현재,5.259603208
2차,5.242718447
#엔시티드림_당장_귀국시켜,5.242718447
방지,5.225833685
여성,5.175179401
진행,5.149852258
의료진,5.124525116
여파,5.116082735
경기,5.116082735
홍콩,5.05698607
정권,5.05698607
착용,5.05698607
무엇,5.014774166
감사,5.006331786
여러분,4.981004643
제주,4.964119882
비상사태,4.94723512
위험한,4.930350359
이거,4.930350359
북한,4.930350359
지금,4.896580836
영향,4.888138455
음성,4.879696074
文대통령,4.820599409
외국,4.769945125
질병관리본부,4.753060363
친구,4.71929084
누구,4.677078936
선포,4.668636556
하나,4.660194175
후베이성,4.626424652
행사,4.558885606
스케줄,4.550443225
3번,4.482904179
#신종코로나바이러스,4.457577037
부산,4.440692275
1월,4.415365133
사실,4.406922752
개발,4.38159561
#우한,4.364710848
상태,4.322498945
“신종,4.297171802
관광객,4.27184466
치료제,4.263402279
블로그),4.263402279
중요,4.254959899
긴급,4.254959899
중앙일보,4.212747995
이후,4.212747995
학교,4.204305614
완치,4.187420853
16번,4.15365133
명칭,4.136766568
수준,4.001688476
사용,3.984803715
우선,3.984803715
잠복기,3.984803715
퇴원,3.951034192
공항,3.951034192
